"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Main_Actor"
1,"O Beco do Pesadelo","An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.",150,"Crime",7.2,70,57203,"Guillermo del Toro","Bradley Cooper"
2,"Ataque dos Cães","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",126,"Drama",6.9,89,109701,"Jane Campion","Benedict Cumberbatch"
3,"King's Man: A Origem","In the early years of the 20th century, the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.",131,"Action",6.5,44,50550,"Matthew Vaughn","Ralph Fiennes"
4,"Encanto","A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.",102,"Animation",7.3,75,144043,"Jared Bush","Stephanie Beatriz"
5,"Homem-Aranha: Sem Volta para Casa","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",148,"Action",8.7,71,464709,"Jon Watts","Tom Holland"
6,"Casa Gucci","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",158,"Crime",6.7,59,72964,"Ridley Scott","Lady Gaga"
7,"Não Olhe para Cima","Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.",138,"Comedy",7.2,49,432644,"Adam McKay","Leonardo DiCaprio"
8,"Licorice Pizza","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",133,"Comedy",7.8,90,28585,"Paul Thomas Anderson","Alana Haim"
9,"Ghostbusters: Mais Além","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",124,"Adventure",7.2,45,117364,"Jason Reitman","Carrie Coon"
10,"Belfast","A young boy and his working-class Belfast family experience the tumultuous late 1960s.",98,"Biography",7.4,75,28718,"Kenneth Branagh","Jude Hill"
11,"Duna","Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",155,"Action",8.1,74,487924,"Denis Villeneuve","Timothée Chalamet"
12,"No Ritmo do Coração","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.",111,"Comedy",8.1,75,48919,"Sian Heder","Emilia Jones"
13,"Eternos","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",156,"Action",6.4,52,255220,"Chloé Zhao","Gemma Chan"
14,"Drive My Car","After his wife's unexpected death, Yusuke Kafuku, a renowned stage actor and director, receives an offer to direct a production of Uncle Vanya in Hiroshima. There, he begins to face the haunting mysteries his wife left behind.",179,"Drama",7.8,91,12548,"Ryûsuke Hamaguchi","Hidetoshi Nishijima"
15,"Sing 2","Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.",110,"Animation",7.5,49,32661,"Garth Jennings","Matthew McConaughey"
16,"Spencer","During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana Spencer, struggling with mental health problems, decides to end her decade-long marriage to Prince Charles.",117,"Biography",6.8,76,40293,"Pablo Larraín","Kristen Stewart"
17,"O Último Duelo","King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.",152,"Action",7.4,67,118171,"Ridley Scott","Matt Damon"
18,"A Pior Pessoa do Mundo","The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",128,"Comedy",7.9,90,18092,"Joachim Trier","Renate Reinsve"
19,"Matrix Resurrections","Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",148,"Action",5.7,63,195635,"Lana Wachowski","Keanu Reeves"
20,"tick, tick...BOOM!","On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in New York City.",115,"Biography",7.6,74,74498,"Lin-Manuel Miranda","Andrew Garfield"
